x,y,cell_id,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV,risk_score,risk_category,u_category
-2.2655402,53.4204534,6.50452914490822e+18,22,0,1,2,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071,2.2074271077563385,High,Medium
-2.2655963,53.4294419,8.68560051705832e+18,38,2,2,2,0,1.5,1.0,1.0,0.666666666666667,0.666666666666667,2.5000000000000004,High,Medium
-2.2656636,53.4402279,-6.95426317223508e+18,58,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,Low,Low
-2.2656917,53.4447221,-7.90344478336077e+18,59,3,1,2,1,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193,2.7074271077563377,High,Medium
-2.2657816,53.4591036,8.320480176660515e+18,166,2,4,0,3,2.25,2.91666666666667,1.70782512765993,1.2962962962963,0.759033390071081,3.957825127659932,High,Medium
-2.2658602,53.4716873,3.4097975909890186e+18,125,0,0,3,1,1.0,2.0,1.4142135623731,2.0,1.4142135623731,2.4142135623731003,High,Low
-2.26617,53.521123,-2.832039098631268e+18,122,0,0,1,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2641192,53.4339394,-5.530161610118377e+16,54,3,3,3,1,2.5,1.0,1.0,0.4,0.4,3.5,High,Medium
-2.2641527,53.4393324,-1.7991295053414218e+18,68,2,3,0,1,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387,2.790994448735805,High,Medium
-2.2641806,53.4438266,-6.92219328552831e+18,42,5,1,1,1,2.0,4.0,2.0,2.0,1.0,4.0,High,Medium
-2.2644656,53.4896673,5.3662262657563834e+17,58,0,2,0,0,0.5,1.0,1.0,2.0,2.0,1.5,Medium,Low
-2.2645216,53.4986556,-7.877119818569645e+18,55,0,0,0,1,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2625364,53.4213589,-5.441153801290022e+18,93,2,1,1,4,2.0,2.0,1.4142135623731,1.0,0.707106781186548,3.414213562373096,High,Medium
-2.2626418,53.4384369,-5.608213471952672e+18,68,1,4,2,3,2.5,1.66666666666667,1.29099444873581,0.666666666666667,0.516397779494322,3.790994448735805,High,Medium
-2.262664,53.4420323,-6.104919003042739e+18,74,3,1,4,0,2.0,3.33333333333333,1.82574185835055,1.66666666666667,0.912870929175277,3.825741858350554,High,Medium
-2.2626751,53.44383,4.841772569815308e+18,21,0,1,0,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2627028,53.4483242,6.055082251658565e+17,46,1,2,1,2,1.5,0.333333333333333,0.577350269189626,0.222222222222222,0.38490017945975,2.077350269189625,High,Medium
-2.2627695,53.4591102,5.228304199853583e+18,192,2,5,2,4,3.25,2.25,1.5,0.692307692307692,0.461538461538462,4.750000000000002,High,Medium
-2.2628028,53.4645032,-4.914485009058255e+18,65,2,0,1,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,1.7074271077563374,Medium,Low
-2.2628473,53.4716939,-4.730014491813089e+18,200,3,0,1,0,1.0,2.0,1.4142135623731,2.0,1.4142135623731,2.4142135623731003,High,Low
-2.2630699,53.5076472,4.503625846425485e+18,77,0,0,0,1,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2631423,53.519332,3.6277371045110666e+18,208,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2610427,53.4231599,-9.773430155361206e+16,25,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2612027,53.4492263,-2.768365916960628e+18,37,0,0,1,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2614182,53.4842809,9.748041215865075e+17,136,0,0,1,0,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2595928,53.4321516,-3.1864631728776515e+18,34,0,1,2,1,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2595982,53.4330505,4.728380058564738e+18,114,3,2,2,3,2.5,0.333333333333333,0.577350269189626,0.133333333333333,0.23094010767585,3.077350269189625,High,Medium
-2.2596037,53.4339493,-4.3474295811440113e+18,84,2,2,2,1,1.75,0.25,0.5,0.142857142857143,0.285714285714286,2.2500000000000004,High,Medium
-2.2596311,53.4384435,2.4867367121520686e+18,53,2,2,1,3,2.0,0.666666666666667,0.816496580927726,0.333333333333333,0.408248290463863,2.8164965809277263,High,Medium
-2.2596641,53.4438366,6.26719524473014e+18,24,0,0,0,2,0.5,1.0,1.0,2.0,2.0,1.5,Medium,Low
-2.2596805,53.4465331,4.813593830928762e+18,67,0,0,1,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,1.7074271077563374,Medium,Low
-2.2597299,53.4546226,6.467569402093213e+18,35,2,1,0,1,1.0,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726,1.816496580927726,Medium,Low
-2.2597574,53.4591168,8.864222466996233e+18,100,2,2,0,4,2.0,2.66666666666667,1.63299316185545,1.33333333333333,0.816496580927726,3.632993161855452,High,Medium
-2.2598068,53.4672063,5.53858227569734e+18,93,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,1.0773502691896248,Medium,Low
-2.2598233,53.4699029,5.428003152784543e+18,82,0,0,0,1,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2599002,53.4824865,1.937378668414716e+18,62,0,0,0,1,0.25,0.25,0.5,1.0,2.0,0.75,Low,Negligible
-2.2599167,53.485183,5.081524606056244e+18,68,1,1,1,0,0.75,0.25,0.5,0.333333333333333,0.666666666666667,1.2500000000000002,Medium,Low
